animal_name,scientific_name,location
Alligator Snapping Turtle,Macrochelys temminckii,"Abilene Zoo - Abilene, TX, USA"
American Alligator,Alligator mississippiensis,"Abilene Zoo - Abilene, TX, USA"
American Flamingo (juvenile),Phoenicopterus ruber,"Abilene Zoo - Abilene, TX, USA"
American Flamingo,Phoenicopterus ruber,"Abilene Zoo - Abilene, TX, USA"
American Wigeon (female),Mareca americana,"Abilene Zoo - Abilene, TX, USA"
Bateleur,Terathopius ecaudatus,"Abilene Zoo - Abilene, TX, USA"
Bengal Tiger (white),Panthera tigris tigris,"Abilene Zoo - Abilene, TX, USA"
Black-bellied Whistling Duck,Dendrocygna autumnalis,"Abilene Zoo - Abilene, TX, USA"
Black-necked Spitting Cobra,Naja nigricollis,"Abilene Zoo - Abilene, TX, USA"
Black-necked Swan,Cygnus melanocoryphus,"Abilene Zoo - Abilene, TX, USA"
Blue-black Grosbeak,Cyanoloxia cyanoides,"Abilene Zoo - Abilene, TX, USA"
Brazilian Lancehead,Bothrops moojeni,"Abilene Zoo - Abilene, TX, USA"
Caatinga Lancehead,Bothrops erythromelas,"Abilene Zoo - Abilene, TX, USA"
Cape Coral Cobra,Aspidelaps lubricus lubricus,"Abilene Zoo - Abilene, TX, USA"
Central American Bushmaster,Lachesis stenophrys,"Abilene Zoo - Abilene, TX, USA"
Domestic Greylag Goose,Anser anser,"Abilene Zoo - Abilene, TX, USA"
Eastern Green Mamba,Dendroaspis angusticeps,"Abilene Zoo - Abilene, TX, USA"
Franklin's Gull,Leucophaeus pipixcan,"Abilene Zoo - Abilene, TX, USA"
Fulvous Whistling Duck,Dendrocygna bicolor,"Abilene Zoo - Abilene, TX, USA"
Grant's Zebra,Equus quagga boehmi,"Abilene Zoo - Abilene, TX, USA"
Greater Rhea,Rhea americana,"Abilene Zoo - Abilene, TX, USA"
Guanaco,Lama guanicoe,"Abilene Zoo - Abilene, TX, USA"
Helmeted Guineafowl,Numida meleagris,"Abilene Zoo - Abilene, TX, USA"
Jameson's Mamba,Dendroaspis jamesoni,"Abilene Zoo - Abilene, TX, USA"
King Cobra,Ophiophagus hannah,"Abilene Zoo - Abilene, TX, USA"
Lilac-crowned Amazon,Amazona finschi,"Abilene Zoo - Abilene, TX, USA"
Mallard (nonbreeding male),Anas platyrhynchos,"Abilene Zoo - Abilene, TX, USA"
Mallard (female),Anas platyrhynchos,"Abilene Zoo - Abilene, TX, USA"
Maned Wolf,Chrysocyon brachyurus,"Abilene Zoo - Abilene, TX, USA"
Mangrove Snake,Boiga dendrophila,"Abilene Zoo - Abilene, TX, USA"
Meller's Chameleon,Trioceros melleri,"Abilene Zoo - Abilene, TX, USA"
Mexican Beaded Lizard,Heloderma horridum,"Abilene Zoo - Abilene, TX, USA"
Mexican Pine Snake,Pituophis deppei,"Abilene Zoo - Abilene, TX, USA"
Mississippi Kite,Ictinia mississippiensis,"Abilene Zoo - Abilene, TX, USA"
Northern Shoveler (female),Spatula clypeata,"Abilene Zoo - Abilene, TX, USA"
Painted Bunting (male),Passerina ciris,"Abilene Zoo - Abilene, TX, USA"
Plumed Basilisk,Basiliscus plumifrons,"Abilene Zoo - Abilene, TX, USA"
Prehensile-tailed Porcupine,Coendou prehensilis,"Abilene Zoo - Abilene, TX, USA"
Red Spitting Cobra,Naja pallida,"Abilene Zoo - Abilene, TX, USA"
Redhead (female),Aythya americana,"Abilene Zoo - Abilene, TX, USA"
Reticulated Giraffe,Giraffa camelopardalis reticulata,"Abilene Zoo - Abilene, TX, USA"
Ridge-nosed Rattlesnake,Crotalus willardi,"Abilene Zoo - Abilene, TX, USA"
Ring-necked Dove,Streptopelia capicola,"Abilene Zoo - Abilene, TX, USA"
Sandhill Crane,Antigone canadensis,"Abilene Zoo - Abilene, TX, USA"
Scarlet Macaw,Ara macao,"Abilene Zoo - Abilene, TX, USA"
Scissor-tailed Flycatcher,Tyrannus forficatus,"Abilene Zoo - Abilene, TX, USA"
Southeast African Lion (male),Panthera leo,"Abilene Zoo - Abilene, TX, USA"
Southeast African Lion (female),Panthera leo,"Abilene Zoo - Abilene, TX, USA"
Southern Screamer,Chauna torquata,"Abilene Zoo - Abilene, TX, USA"
Swainson's Hawk,Buteo swainsoni,"Abilene Zoo - Abilene, TX, USA"
Texas Map Turtle,Graptemys versa,"Abilene Zoo - Abilene, TX, USA"
Timber Rattlesnake,Crotalus horridus horridus,"Abilene Zoo - Abilene, TX, USA"
Tokay Gecko,Gekko gecko,"Abilene Zoo - Abilene, TX, USA"
West African Gaboon Viper,Bitis rhinoceros,"Abilene Zoo - Abilene, TX, USA"
Western Diamondback Rattlesnake,Crotalus atrox,"Abilene Zoo - Abilene, TX, USA"
Wood Duck (female),Aix sponsa,"Abilene Zoo - Abilene, TX, USA"
Yarrow's Spiny Lizard,Sceloporus jarrovii,"Abilene Zoo - Abilene, TX, USA"
Yellow-billed Stork,Mycteria ibis,"Abilene Zoo - Abilene, TX, USA"
